Common Name,Latin Name,Image,Deciduous/Evergreen,Blurb,,,,,
American Sweetgum,Liquidambar styraciflua,,Deciduous,"American sweetgum (Liquidambar styraciflua), also known as American storax, hazel pine, bilsted, redgum, satin-walnut, star-leaved gum, alligatorwood, or simply sweetgum, is a deciduous tree in the genus Liquidambar native to warm temperate areas of eastern North America and tropical montane regions of Mexico and Central America. Sweet gum is one of the main valuable forest trees in the southeastern United States, and is a popular ornamental tree in temperate climates. It is recognizable by the combination of its five-pointed star-shaped leaves and its hard, spiked fruits.",,,,,
American Yellowwood,Cladrastis kentukea,,Deciduous,"Cladrastis kentukea, the Kentucky yellowwood or American yellowwood (syn. C. lutea, C. tinctoria), is a species of Cladrastis native to the Southeastern United States, with a restricted range from western North Carolina west to eastern Oklahoma, and from southern Missouri and Indiana south to central Alabama. ",,,,,
Amur Corktree,Phellodendron amurense,,Deciduous,"Phellodendron amurense is a species of tree in the family Rutaceae, commonly called the Amur cork tree. It is a major source of huáng bò (Chinese: 黄柏 or 黄檗), one of the 50 fundamental herbs used in traditional Chinese medicine. The Ainu people used this plant, called shikerebe-ni, as a painkiller.",,,,,
Amur Maackia,Maackia amurensis,,Deciduous,"Maackia amurensis, commonly known as the Amur maackia, is a species of tree in the family Fabaceae that can grow 15 metres (49 ft) tall. The species epithet and common names are from the Amur River region, where the tree originated; it occurs in northeastern China, Korea, and Russia.",,,,,
Amur Maple,Acer ginnala,,Deciduous,"Acer ginnala (Amur maple) is a plant species with woody stems native to northeastern Asia from easternmost Mongolia east to Korea and Japan, and north to the Russian Far East in the Amur River valley. It is a small maple with deciduous leaves that is sometimes grown as a garden subject or boulevard tree.",,,,,
Anise Magnolia,Magnolia saliicifolia,,Deciduous,"Magnolia salicifolia, also known as willow-leafed magnolia or anise magnolia, originates from Japan. It is a small deciduous tree 7.5 m (25 ft) tall, with narrow lanceolate leaves with whitened undersides.",,,,,
Arborvitae,Thuja standishii,,Evergreen,"Thuja (/ˈθjuːdʒə/ THEW-jə) is a genus of coniferous trees in the Cupressaceae (cypress family). There are five species in the genus, two native to North America and three native to eastern Asia.The genus is monophyletic and sister to Thujopsis. Members are commonly known as arborvitaes, (from Latin for tree of life) thujas or cedars.",,,,,
Arizona Cypress,Cupressus arizonica,,Evergreen,"Cupressus arizonica, the Arizona cypress, is a North American species of trees in the cypress family. It is native to the southwestern United States (Arizona, Utah, southwestern New Mexico, and southern California, with a few populations in southern Nevada and in the Chisos Mountains of western Texas), and in Mexico (Coahuila, Nuevo León, Chihuahua, Sonora, Durango, Tamaulipas, Zacatecas and northern Baja California). In the wild, the species is often found in small, scattered populations, not necessarily in large forests.",,,,,
Austrian Pine,Pinus nigra,,Evergreen,"Pinus nigra, the Austrian pine or black pine, is a moderately variable species of pine, occurring across southern Mediterranean Europe from Spain to the eastern Mediterranean, on the Anatolian peninsula of Turkey on Corsica and Cyprus as well as Crimea and in the high mountains of the Maghreb in North Africa.",,,,,
Baldcypress,Taxodium distichum,,Deciduous,"Taxodium distichum (bald cypress) is a deciduous conifer in the family Cupressaceae. It is native to the southeastern United States. Hardy and tough, this tree adapts to a wide range of soil types, whether wet, dry, or swampy. It is noted for the russet-red fall color of its lacy needles.",,,,,
Balsam Fir,Abies balsamea,,Evergreen,"Abies balsamea or balsam fir is a North American fir, native to most of eastern and central Canada (Newfoundland west to central Alberta) and the northeastern United States (Minnesota east to Maine, and south in the Appalachian Mountains to West Virginia).It is celebrated for its rich green needles, natural conical shape, and needle retention after being cut, and it is notably the most fragrant of all Christmas tree varieties",,,,,
Big Leaf Magnolia,Magnolia macrophylla,,Deciduous,"Magnolia macrophylla, the bigleaf magnolia, is a deciduous magnolia native to the southeastern United States and eastern Mexico. This species boasts the largest simple leaf and single flower of any native plant in North America.",,,,,
Black Cherry,Prunus serotina,,Deciduous,"Prunus serotina, commonly called black cherry, wild black cherry, rum cherry, or mountain black cherry, is a deciduous tree or shrub belonging to the genus Prunus. The species is widespread and common in North America and South America.",,,,,
Black Locust,Robinia pseudoacacia,,Deciduous,"Robinia pseudoacacia, commonly known in its native territory as black locust, is a medium-sized hardwood deciduous tree, belonging to the tribe Robinieae. It is endemic to a few small areas of the United States, but it has been widely planted and naturalized elsewhere in temperate North America, Europe, Southern Africa and Asia and is considered an invasive species in some areas.",,,,,
Black Oak,Quercus velutina,,Deciduous,"Quercus velutina, the eastern black oak or more commonly known as simply black oak, is a species in the red oak (Quercus sect. Lobatae) group of oaks. It is widespread in eastern and central North America, found in all the coastal states from Maine to Texas, inland as far as Michigan, Ontario, Minnesota, Nebraska, Kansas, Oklahoma, and eastern Texas.",,,,,
Black Walnut,Juglans nigra,,Deciduous,"Juglans nigra, the eastern American black walnut, is a species of deciduous tree in the walnut family, Juglandaceae, native to North America. It grows mostly in riparian zones, from southern Ontario, west to southeast South Dakota, south to Georgia, northern Florida and southwest to central Texas. Wild trees in the upper Ottawa Valley may be an isolated native",,,,,
Blackgum,Nyssa sylvatica,,Deciduous,"Nyssa sylvatica, commonly known as tupelo, black tupelo, black gum or sour gum, is a medium-sized deciduous tree native to eastern North America from the coastal Northeastern United States and southern Ontario south to central Florida and eastern Texas, as well as Mexico.",,,,,
Blue Atlas Cedar,Cedrus atlantica ,,Evergreen,"Cedrus atlantica, the Atlas cedar, is a cedar native to the Atlas Mountains of Morocco (Middle Atlas, High Atlas), to the Rif, and to the Tell Atlas in Algeria. A majority of the modern sources treat it as a distinct species Cedrus atlantica, but some sources consider it a subspecies of Lebanon cedar (C. libani subsp. atlantica).",,,,,
Blue Spruce,Picea pungens,,Evergreen,"The blue spruce, green spruce, white spruce, Colorado spruce, or Colorado blue spruce, with the Latin (scientific) name Picea pungens, is a species of spruce tree. It is native to North America, and is found in growing zones 1 through 7. Its natural range extends from northern New Mexico through Colorado and Utah to Wyoming and into Alberta and British Columbia, but it has been widely introduced elsewhere and is used as an ornamental tree in many places far beyond its native range. The blue spruce has blue-green coloured needles and is a coniferous tree.",,,,,
Boxelder,Acer negundo,,Deciduous,"Acer negundo is a species of maple native to North America. Box elder, boxelder maple, ash-leaved maple, and maple ash are among its common names in the United States; in Canada it is commonly known as Manitoba maple and occasionally as elf maple; in the British Isles it is known as box elder or ashleaf maple.",,,,,
Boxwood,Buxus sempervirens,,Evergreen,"Buxus sempervirens, the common box, European box, or boxwood, is a species of flowering plant in the genus Buxus, native to western and southern Europe, northwest Africa, and southwest Asia, from southern England south to northern Morocco, and east through the northern Mediterranean region to Turkey. Buxus colchica of western Caucasus and B. hyrcana of northern Iran and eastern Caucasus are commonly treated as synonyms of B. sempervirens.",,,,,
Bur Oak,Quercus macrocarpa,,Deciduous,"Quercus macrocarpa, the bur oak, sometimes spelled burr oak, is a species of oak in the white oak section Quercus sect. Quercus, native to North America in the eastern and central United States and eastern and central Canada. This plant is also called mossycup oak and mossycup white oak.",,,,,
Callery Pear,Pyrus calleryana,,Deciduous,"Pyrus calleryana, or the Callery pear, is a species of pear tree native to China and Vietnam, in the family Rosaceae. It is most commonly known for its cultivar 'Bradford', widely planted throughout the United States and increasingly regarded as an invasive species. The inedible fruits of the Callery pear are small (less than one cm in diameter), and hard, almost woody, until softened by frost, after which they are readily taken by birds, which disperse the seeds in their droppings.",,,,,
Canadian Hemlock,Tsuga canadensis,,Evergreen,"Tsuga canadensis, also known as eastern hemlock, eastern hemlock-spruce or Canadian hemlock, and in the French-speaking regions of Canada as pruche du Canada, is a coniferous tree native to eastern North America. It is the state tree of Pennsylvania.",,,,,
Carolina Hemlock,Tsuga caroliniana,,Evergreen,"Tsuga caroliniana, the Carolina hemlock, is a species of Tsuga, native to the Appalachian Mountains in southwest Virginia, western North Carolina, extreme northeast Georgia, northwest South Carolina, and eastern Tennessee. Its habitat is on rocky mountain slopes at elevations of 700–1,200 m (2,300–3,900 ft). The optimal growing condition is a partly shady area with moist but well-drained soil in a cool climate.",,,,,
Carolina Silverbell,Halesia carolina,,Deciduous,"Halesia carolina, commonly called Carolina silverbell or little silverbell, is a species of flowering plant in the family Styracaceae, native to the southeastern United States.",,,,,
Castor-aralia,Kalopanax pictus,,Deciduous,"Acer pictum, commonly known as yellow-paint maple, is an Asian species of maple. It widespread across much of China as well as Korea, Japan, Mongolia, and eastern Russia. Its natural habitat is in temperate forests.",,,,,
Caucasian Wingnut,Pterocarya fraxinifolia,,Deciduous,"Pterocarya fraxinifolia is a species of tree in the Juglandaceae family. It is commonly known as the Caucasian wingnut or Caucasian walnut. It is native to the Caucasian region Armenia, Azerbaijan, Georgia, Iran, Russia, Ukraine and Turkey. It was introduced to France in 1784, and to Great Britain after 1800.[2]",,,,,
Cedar of Lebanon,Cedrus libani,,Evergreen,"Cedrus libani, commonly known as the cedar of Lebanon or Lebanon cedar, is a species of cedar native to the mountains of the Eastern Mediterranean basin. It is an evergreen conifer that can reach 40 m (130 ft) in height. It is the national emblem of Lebanon and is widely used as an ornamental tree in parks and gardens.",,,,,
Cherry (Unknown),Prunus spp.,,Unknown,"A cherry is the fruit of many plants of the genus Prunus, and is a fleshy drupe (stone fruit). Commercial cherries are obtained from cultivars of several species, such as the sweet Prunus avium and the sour Prunus cerasus. The name 'cherry' also refers to the cherry tree and its wood, and is sometimes applied to almonds and visually similar flowering trees in the genus Prunus, as in ""ornamental cherry"" or ""cherry blossom"". Wild cherry may refer to any of the cherry species growing outside cultivation, although Prunus avium is often referred to specifically by the name ""wild cherry"" in the British Isles.",,,,,
Chestnut Oak,Quercus prinus,,Deciduous,"Quercus montana, the chestnut oak, is a species of oak in the white oak group, Quercus sect. Quercus. It is native to the eastern United States, where it is one of the most important ridgetop trees from southern Maine southwest to central Mississippi, with an outlying northwestern population in southern Michigan. It is also sometimes called rock oak because of its presence in montane and other rocky habitats.",,,,,
Chinaberry,Melia azedarach,,Deciduous,"Melia azedarach, commonly known by many names, including chinaberry tree, Pride of India, bead-tree, Cape lilac, syringa berrytree, Persian lilac, and Indian lilac, is a species of deciduous tree in the mahogany family, Meliaceae, that is native to Indomalaya and Australasia.[5]",,,,,
Chinese Chestnut,Casatanea mollissima,,Deciduous,"Castanea mollissima (Chinese: 板栗; pinyin: bǎnlì), also known as the Chinese chestnut, is a member of the family Fagaceae, and a species of chestnut native to China, Taiwan, and Korea.",,,,,
Chinese Fringetree,Chionanthus retusus,,Deciduous,"Chionanthus retusus, the Chinese fringetree, is a flowering plant in the family Oleaceae. It is native to eastern Asia: eastern and central China, Japan, Korea and Taiwan.",,,,,
Chinese Holly,Ilex cornuta,,Evergreen,"Ilex cornuta, commonly known as Chinese holly or horned holly, is a slow-growing, densely foliaged evergreen shrub in the Aquifoliaceae plant family. It is native to eastern China and Korea and attains a height of about 3 metres (9.8 ft). The leaves are usually 5-spined (sometimes 4), between 3.5 cm and 10 cm long, oblong and entire. The fruits are red berries, which are larger than those of the European Holly (Ilex aquifolium).",,,,,
Chinese Juniper,Juniperus chinensis,,Evergreen,"Juniperus chinensis (Chinese juniper, 圆柏, 桧) is a juniper that grows as a shrub or tree with a very variable shape, reaching 1–20 m tall. This native of northeast Asia grows in China, Mongolia, Japan, Korea and the southeast of Russia.",,,,,
Chinese Pistache,Pistacia chinensis,,Deciduous,"Pistacia chinensis (English: Chinese pistache; Chinese: 黄連木; pinyin: huángliánmù) is a small to medium-sized tree in the genus Pistacia in the cashew family, Anacardiaceae, native to central and western China. It is hardy, can withstand harsh conditions and poor quality soils, and grows up to 20 m. The leaves are deciduous, alternate, pinnate, 20–25 cm long, with 10 or 12 leaflets, the terminal leaflet usually absent. The fruit is a small red drupe, turning blue when ripe, containing a single seed. This species is planted as a street tree in temperate areas worldwide due to its attractive fruit and autumn foliage.",,,,,
Chinkapin Oak,Quercus muehlenbergii,,Deciduous,"Quercus muehlenbergii, the chinkapin or chinquapin oak, is a species of tree in the white oak group (Quercus sect. Quercus). The species was often called Quercus acuminata in older literature. Quercus muehlenbergii (often misspelled as muhlenbergii) is native to eastern and central North America. It ranges from Vermont to Minnesota, south to Florida, and west to New Mexico in the United States. In Canada it is only found in southern Ontario, and in Mexico it ranges from Coahuila south to Hidalgo.",,,,,
Common Chinafir,Cunninghamia lanceolata,,Evergreen,"Cunninghamia is a genus of one[2] or two living species of evergreen coniferous trees in the cypress family Cupressaceae.[3] They are native to China, northern Vietnam and Laos, and perhaps also Cambodia.[2] They may reach 50 m (160 ft) in height.[2] In vernacular use, it is most often known as Cunninghamia, but is also sometimes called ""China-fir"" (though it is not a fir). The genus name Cunninghamia honours Dr. James Cunningham, a British doctor who introduced this species into cultivation in 1702 and botanist Allan Cunningham.[4]",,,,,
Common Hackberry,Celtis occidentalis,,Deciduous,"Celtis occidentalis, commonly known as the common hackberry, is a large deciduous tree native to North America. It is also known as the nettletree, sugarberry, beaverwood, northern hackberry, and American hackberry. It is a moderately long-lived hardwood with a light-colored wood, yellowish gray to light brown with yellow streaks. Celtis occidentalis, commonly known as the common hackberry, is a large deciduous tree native to North America. It is also known as the nettletree, sugarberry, beaverwood, northern hackberry, and American hackberry. It is a moderately long-lived hardwood with a light-colored wood, yellowish gray to light brown with yellow streaks.",,,,,
Common Horsechestnut,Aesculus hippocastanum,,Deciduous,"Aesculus hippocastanum is a species of flowering plant in the soapberry and lychee family Sapindaceae. It is a large deciduous, synoecious[2] (hermaphroditic-flowered) tree, commonly known as horse-chestnut[3] or conker tree.",,,,,
Common Lilac,Syringa vulgaris,,Deciduous,"Syringa vulgaris (lilac or common lilac) is a species of flowering plant in the olive family Oleaceae, native to the Balkan Peninsula, where it grows on rocky hills.[1][2][3] Grown for its scented pink flowers in spring, this large shrub or small tree is widely cultivated and has been naturalized in parts of Europe and North America. It is not regarded as an aggressive species, found in the wild in widely scattered sites, usually in the vicinity of past or present human habitations.[4][5][6]",,,,,
Common Pawpaw,Asimina triloba,,Deciduous,"Asimina triloba, the papaw, pawpaw, paw paw, or paw-paw, among many regional names, is a small deciduous tree native to the eastern United States and Canada, producing a large, yellowish-green to brown fruit.[2][3] It belongs to the genus Asimina in the same plant family (the Annonaceae) as the custard-apple, cherimoya, sweetsop, ylang-ylang and soursop. The pawpaw is a patch-forming (clonal) understory tree found in well-drained, deep, fertile bottom-land and hilly upland habitat, with large, simple leaves. Pawpaw fruits are the largest edible fruit indigenous to the United States[4] (not counting gourds, which are typically considered vegetables rather than fruit for culinary purposes, although in botany they are classified as fruit).[5] Pawpaw fruits have a sweet, custardish flavor somewhat similar to banana, mango, and pineapple, and are commonly eaten raw, but are also used to make ice cream and baked desserts.",,,,,
Common Persimmon,Diospyros virginiana,,Deciduous,"Diospyros virginiana is a persimmon species commonly called the American persimmon, common persimmon, eastern persimmon, simmon, possumwood, possum apples,[3] or sugar plum.[4] It ranges from southern Connecticut/Long Island to Florida, and west to Texas, Louisiana, Oklahoma, Kansas, and Iowa. The tree grows wild but has been cultivated for its fruit and wood since prehistoric times by Native Americans. The fruit is round or oval and usually orange-yellow, sometimes bluish, and from 2 to 6 cm (3⁄4 to 2 1⁄4 in) in diameter. In the U.S. South and Midwest, the fruits are referred to as simply persimmons or ""'simmons"", and are popular in desserts and cuisine.",,,,,
Common Witchhazel,Hamamelis virginiana,,Deciduous,"Hamamelis virginiana, known as witch-hazel, common witch-hazel, and American witch-hazel, is a species of flowering shrub native to eastern North America, from Nova Scotia west to Minnesota, and south to central Florida to eastern Texas.[1] Native Americans produced witch hazel extract by boiling the stems of the shrub and producing a decoction, which was used to treat swellings, inflammations, and tumors.[5] Early Puritan settlers in New England adopted this remedy from the natives, and its use became widely established in the United States.[6]",,,,,
Cornelian Cherry Dogwood,Cornus mas,,Deciduous,"Cornus mas (Cornelian cherry, European cornel or Cornelian cherry dogwood) is a species of flowering plant in the dogwood family Cornaceae native to Southern Europe and Southwestern Asia. The fruits when ripe on the plant bear a resemblance to coffee berries, and ripen in mid- to late summer. The fruit is edible, as used in Eastern Europe, UK,[1] and British Columbia, Canada,[2] but the unripe fruit is astringent. When ripe, the fruit is dark ruby red or a bright yellow. It has an acidic flavor which is best described as a mixture of cranberry and sour cherry; it is mainly used for making jam,[2] makes an excellent sauce similar to cranberry sauce when pitted, and then boiled with sugar and orange, but also can be eaten dried.",,,,,
Crapemyrtle,Lagerstroemia indica,,Deciduous,"Lagerstroemia indica (also known as crape myrtle, crepe myrtle, crepeflower) is a species in the genus Lagerstroemia in the family Lythraceae, which is native to the Indian Subcontinent (hence the name indica), and also to Southeast Asia, China, Korea and Japan. Lagerstroemia indica is an often multi-stemmed, deciduous tree with a wide spreading, flat topped, rounded, or even spike shaped open habit. Planted in full sun or under canopy, the tree is a popular nesting shrub for songbirds and wrens.",,,,,
Crimean Linden,Tilia x euchlora,,Deciduous,"Tilia × euchlora, commonly called Caucasian linden or Crimean linden, is a hybrid whose parentage is unclear but is generally considered to be T. cordata and T. dasystyla. It is a medium deciduous tree that typically grows to 40-60’ tall and to 20-30’ wide. It has a rounded pyramidal shape with its branching becoming more pendulous with age. Fragrant pale yellowish-white flowers appear in drooping clusters (cymes) attached to distinctive papery wing-like bracts (2-3” long) in May-June. When a tree is in full bloom, bees often visit in such abundant numbers that humming can be heard many feet from the tree. Flowers give way to conspicuous nutlets that are attached to papery bracts. Nutlets ripen in late summer, but the seeds are usually sterile. Ovate to rounded, glossy deep green leaves (2-4” long) have acuminate tips, serrate margins and irregular cordate bases. Fall color is an undistinguished pale green to pale yellow.",,,,,
Cucumber Magnolia,Magnolia acuminata,,Deciduous,"Magnolia acuminata, commonly called the cucumber tree (often spelled as a single word ""cucumbertree""), cucumber magnolia or blue magnolia, is one of the largest magnolias, and one of the cold-hardiest. It is a large forest tree of the Eastern United States and Southern Ontario in Canada. It is a tree that tends to occur singly as scattered specimens, rather than in groves.[1] The name Cucumber Tree refers to the unripe fruit, which is green and often shaped like a small cucumber; the fruit matures to a dark red color and is 6–8 cm long and 4 cm broad, with the individual carpels splitting open to release the bright red seeds, 10-60 per fruit. The ripe fruit is a striking reddish orange color.",,,,,
Dawn Redwood,Metasequoia glyptostroboides,,Deciduous,"Metasequoia glyptostroboides, the dawn redwood, is a fast-growing, endangered deciduous conifer, the sole living species of the genus Metasequoia, one of three species in the subfamily Sequoioideae. It now survives only in wet lower slopes and montane river and stream valleys in the border region of Hubei and Hunan provinces and Chongqing municipality in south-central China, notably in Lichuan county in Hubei. Although shortest of the redwoods, it can grow to 120 ft (37 m) in height.[3] It is a particularly well-known example of a living fossil species. The tree faces considerable risks of extinction in its wild range due to deforestation, however it has been planted extensively in arboreta worldwide, where it has proved a popular and fast-growing ornamental plant.",,,,,
Deodar Cedar,Cedrus deodara,,Evergreen,"Cedrus deodara, the deodar cedar, Himalayan cedar, or deodar/devdar/devadar/devadaru, is a species of cedar native to the western Himalayas in Eastern Afghanistan, Northern Pakistan (especially in Khyber Pakhtunkhwa) and India (Jammu and Kashmir, Himachal Pradesh, Uttarakhand, Sikkim and, Arunachal Pradesh states and the Darjeeling Region of West Bengal), Southwestern Tibet and Western Nepal, occurring at 1,500–3,200 m (4,921–10,499 ft) altitude. It is a large evergreen coniferous tree reaching 40–50 m (131–164 ft) tall, exceptionally 60 m (197 ft) with a trunk up to 3 m (10 ft) in diameter. It has a conic crown with level branches and drooping branchlets.[2]mAmong Hindus, as the etymology of deodar suggests, it is worshiped as a divine tree. Deva, the first half of the Sanskrit term, means divine, deity, or deus. Dāru, the second part, is cognate with (related to) the words durum, druid, tree, and true.[3][4]",,,,,
Douglas Fir,Pseudotsuga menziesii,,Evergreen,"Pseudotsuga menziesii is an evergreen conifer species in the pine family, Pinaceae. It is native to western North America and is known as Douglas fir,[3] Douglas-fir,[4] Oregon pine,[5] and Columbian pine.[6] There are tree varieties: coast Douglas-fir (P. menziesii var. menziesii), Rocky Mountain Douglas-fir (P. menziesii var. glauca) and Mexican Douglas fir (P. menziesii var. lindleyana).[7] The common name honors David Douglas, a Scottish botanist and collector who first reported the extraordinary nature and potential of the species. The common name is misleading since it is not a true fir, i.e., not a member of the genus Abies. For this reason the name is often written as Douglas-fir (a name also used for the genus Pseudotsuga as a whole).[9]",,,,,
Dove Tree,Davidia involucrata,,Deciduous,"Davidia involucrata, the dove-tree, handkerchief tree, pocket handkerchief tree, or ghost tree, is a medium-sized deciduous tree in the family Nyssaceae.[2] It was previously included with tupelos in the dogwood family, Cornaceae.[3] It is native to South Central and Southwest China from Hubei to southern Gansu, south to Guizhou, Sichuan and Yunnan, but is widely cultivated elsewhere.",,,,,
Eastern Arborvitae,Thuja occidentalis,,Evergreen,"Thuja occidentalis, also known as northern white-cedar, eastern white cedar, or eastern arborvitae, is an evergreen coniferous tree, in the cypress family Cupressaceae, which is native to eastern Canada and much of the north, central and upper Northeastern United States,[2][3] but widely cultivated as an ornamental plant. The species was first described by Carl Linnaeus in 1753, and the binomial name remains current.",,,,,
Eastern Redbud,Cercis canadensis,,Deciduous,"Cercis canadensis, the eastern redbud, is a large deciduous shrub or small tree, native to eastern North America from southern Ontario, south to northern Florida but which can thrive as far west as California. It is the state tree of Oklahoma. Native Americans consumed redbud flowers raw or boiled, and ate roasted seeds.",,,,,
Eastern Redcedar,Juniperus virginiana,,Evergreen,"Juniperus virginiana, known as red cedar, eastern redcedar, Virginian juniper, eastern juniper, red juniper, pencil cedar, and aromatic cedar, is a species of juniper native to eastern North America from southeastern Canada to the Gulf of Mexico and east of the Great Plains.[3] Further west it is replaced by the related Juniperus scopulorum (Rocky Mountain juniper) and to the southwest by Juniperus ashei (Ashe juniper).[5][6][7] Among many Native American cultures, the smoke of the burning cedar is used to drive away evil spirits prior to conducting a ceremony, such as a healing ceremony. During the Dust Bowl drought of the 1930s, the Prairie States Forest Project encouraged farmers to plant shelterbelts (wind breaks) made of Juniperus virginiana throughout the Great Plains. They thrive under adverse conditions – both drought tolerant and cold tolerant, they grow well in rocky, sandy, and clay substrates.",,,,,
Eastern Wahoo,Euonymus atropurpureus,,Deciduous,"Euonymus atropurpureus is a species of shrub in the bittersweet family. It has the commons names American wahoo, eastern wahoo, burningbush,[1] and hearts bursting with love.[2] It is native to eastern North America. The fruit is poisonous to humans, but is eaten by several species of birds, which disperse the seeds in their droppings. It is used medicinally in both the United States and southeastern Canada. The powdered bark was used by American Indians and pioneers as a purgative.[6]",,,,,
Eastern White Pine,Pinus strobus,,Evergreen,"Pinus strobus, commonly denominated the eastern white pine, northern white pine, white pine, Weymouth pine (British), and soft pine[1] is a large pine native to eastern North America. It occurs from Newfoundland, Canada west through the Great Lakes region to southeastern Manitoba and Minnesota, United States, and south along the Appalachian Mountains and upper Piedmont to northernmost Georgia and perhaps very rarely in some of the higher elevations in northeastern Alabama.[2] The Native American Haudenosaunee denominated it the ""Tree of Peace"". It is known as the ""Weymouth pine"" in the United Kingdom,[3] after Captain George Weymouth of the British Royal Navy, who brought its seeds to England from Maine in 1605.[4]",,,,,
